id,batch,date,solute_identifier,secondary_solute_identifier,secondary_solute_ratio,solvent,membrane,permeance,pressure,temperature,process_configuration,rejection,exclude
185,Delta,1/8/2025,1352428-78-4,None,0.5,Ethanol,GMT-oNF-2,0.195522762,10,21,DE,0.661421078,0
186,Delta,1/8/2025,2042201-18-1,None,0.5,Ethanol,GMT-oNF-2,0.195522762,10,21,DE,0.829812556,0
187,Delta,1/8/2025,60804-75-3,None,0.5,Ethanol,SS336,0.320534523,10,21,DE,0.99642295,0
188,Delta,1/8/2025,94928-86-6,None,0.5,Ethanol,SS336,0.320534523,10,21,DE,0.581463415,0
189,Delta,1/8/2025,1352428-78-4,None,0.5,Ethanol,SS336,0.320534523,10,21,DE,0.819980925,0
190,Delta,1/8/2025,2042201-18-1,None,0.5,Ethanol,SS336,0.320534523,10,21,DE,0.811960726,0
191,Delta,1/8/2025,60804-75-3,None,0.5,Ethanol,GMT-oNF-2,0.195522762,30,21,DE,0.99642295,0
192,Delta,1/8/2025,94928-86-6,None,0.5,Ethanol,GMT-oNF-2,0.195522762,30,21,DE,0.277073171,0
193,Delta,1/8/2025,1352428-78-4,None,0.5,Ethanol,GMT-oNF-2,0.195522762,30,21,DE,0.689318073,0
194,Delta,1/8/2025,2042201-18-1,None,0.5,Ethanol,GMT-oNF-2,0.195522762,30,21,DE,0.707825052,0
195,Delta,1/8/2025,60804-75-3,None,0.5,Ethanol,SS336,0.320534523,30,21,DE,0.986836457,0
196,Delta,1/8/2025,94928-86-6,None,0.5,Ethanol,SS336,0.320534523,30,21,DE,0.80195122,0
197,Delta,1/8/2025,1352428-78-4,None,0.5,Ethanol,SS336,0.320534523,30,21,DE,0.796614211,0
198,Delta,1/8/2025,2042201-18-1,None,0.5,Ethanol,SS336,0.320534523,30,21,DE,0.733412675,0
199,Delta crosscheck,1/15/2025,60804-75-3,None,0.5,Ethanol,GMT-oNF-2,0.195522762,30,21,DE,0.987170831,0
200,Delta crosscheck,1/15/2025,94928-86-6,None,0.5,Ethanol,GMT-oNF-2,0.195522762,30,21,DE,0.046783626,0
201,Delta crosscheck,1/15/2025,1352428-78-4,None,0.5,Ethanol,GMT-oNF-2,0.195522762,30,21,DE,0.123199393,0
202,Delta crosscheck,1/15/2025,2042201-18-1,None,0.5,Ethanol,GMT-oNF-2,0.195522762,30,21,DE,0.763779528,0
203,Delta crosscheck,1/15/2025,60804-75-3,None,0.5,Ethanol,SS336,0.320534523,30,21,DE,0.943281567,0
204,Delta crosscheck,1/15/2025,94928-86-6,None,0.5,Ethanol,SS336,0.320534523,30,21,DE,0.608836907,0
205,Delta crosscheck,1/15/2025,1352428-78-4,None,0.5,Ethanol,SS336,0.320534523,30,21,DE,0.723654284,0
206,Delta crosscheck,1/15/2025,2042201-18-1,None,0.5,Ethanol,SS336,0.320534523,30,21,DE,0.796150481,0
207,Alpha,1/8/2025,14323-06-9,None,0.5,Ethanol,GMT-oNF-2,0.195522762,30,21,DE,0.788545341,0
